Id,District number,District Name,Neighborhood Number,Neighborhood Name,Street,Weekday,Weekday Number,Year,Month Number,Month,Day,Hour,Part of the Day,Cause,Cause Number,Deaths,Mild Injured,Seriously Injured,Victims,Vehicles Involved,Latitude,Longitude,Mult_Vic,Mult_Cars,Corner,Serious
2017S009684    ,10,Sant Martí,71,Provençals del Poblenou,JOSEP PLA / PERÚ,Thursday,2,2017,11,November,21,22,Night,Not pedestrian at fault,2,0,1,0,1,2,41.41788640936733,2.2076570721348383,No,Yes,Yes,No
2017S001113    ,10,Sant Martí,71,Provençals del Poblenou,BILBAO / GV CORTS CATALANES,Friday,5,2017,2,February,10,9,Morning,Not pedestrian at fault,2,0,1,0,1,1,41.41058745804997,2.1968859184993303,No,No,Yes,No
2017S003816    ,10,Sant Martí,71,Provençals del Poblenou,PERÚ / SELVA DE MAR,Saturday,6,2017,4,April,29,14,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.414892149007954,2.203561504463506,No,Yes,Yes,No
2017S005995    ,10,Sant Martí,71,Provençals del Poblenou,PERÚ,Monday,1,2017,7,July,10,14,Afternoon,Not pedestrian at fault,2,0,1,0,1,1,41.41682882053267,2.20615132765065,No,No,No,No
2017S000591    ,10,Sant Martí,71,Provençals del Poblenou,GV CORTS CATALANES / SELVA DE MAR,Sunday,7,2017,1,January,22,19,Afternoon,Not pedestrian at fault,2,0,1,0,1,1,41.42054921849158,2.209270356490127,No,No,Yes,No
2017S001862    ,10,Sant Martí,71,Provençals del Poblenou,FLUVIÀ / PERE IV,Thursday,2,2017,3,March,7,9,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.412081395561295,2.2035659250238386,No,Yes,Yes,No
2017S003392    ,10,Sant Martí,71,Provençals del Poblenou,SELVA DE MAR / VENEÇUELA,Friday,5,2017,4,April,14,11,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.41193848348596,2.208190965697972,No,Yes,Yes,No
2017S007682    ,10,Sant Martí,71,Provençals del Poblenou,BILBAO / DIAGONAL,Saturday,6,2017,9,September,16,22,Night,Not pedestrian at fault,2,0,1,0,1,2,41.40811346824214,2.199808408538208,No,Yes,Yes,No
2017S004402    ,10,Sant Martí,71,Provençals del Poblenou,PERÚ / POBLENOU,Tuesday,4,2017,5,May,18,10,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.4083857472752,2.1948866246990693,No,Yes,Yes,No
2017S001437    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,PROVENÇALS / PUJADES,Thursday,2,2017,2,February,21,8,Morning,Not pedestrian at fault,2,0,1,0,1,1,41.412130302664224,2.2142946592791484,No,No,Yes,No
2017S009997    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,BAC DE RODA / DIAGONAL,Tuesday,4,2017,11,November,30,19,Afternoon,Not pedestrian at fault,2,0,2,0,2,2,41.40943660364111,2.2052050722024483,Yes,Yes,Yes,No
2017S004372    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,PELLAIRES,Wednesday,3,2017,5,May,17,9,Morning,Not pedestrian at fault,2,0,1,0,1,1,41.406545844885734,2.211320079687706,No,No,No,No
